Id,UPC/SKU,Name,Description,Type,Price,Cost,MSRP,OnHand,Location,MinQty,Taxable1,Taxable2,GroupAtSale,Active,Categories,Favorites,Notes,NotesType
"438","","Gillette 2,  5's. X24","","S",20,17.1,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"439","","Gillette blue ll 5's. X20","","S",28,25.5,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"440","","Gillette blue ll plus x24","","S",25,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"441","","Bic razor 5's x20","","S",13,10.6,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"442","","Wilkinson blade 5's x20","","S",11,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"443","","Super max blade 5's x20","","S",7,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"444","","Gillette shaving gel sensitive skin 200ml. X6","","S",12,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"445","","Gillette shaving gel pure & sensitive 200ml x6","","S",12,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"446","","Gillette foam regular 200ml x6","","S",7,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"447","","Gillette foam lemon lime 200ml x6","","S",7,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"448","","Gillette foam sensitive skin 200ml x6","","S",7,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"449","","Gillette gel sensitive skin 200ml x6","","S",10,8,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"450","","Gillette gel regular 200ml x6","","S",10,8,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"451","","Gillette face wash 150ml x6","","S",8,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"452","","Rat glue x24","","S",10,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"453","","Mouse glue x24","","S",10,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"454","","J&J baby oil 300g  X6","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"455","","J&J baby wipes 56's  X6","","S",6.5,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"456","","J&J baby shampoo 300ml X6","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"457","","J&J baby soap 4X100g  X6","","S",10,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"458","","J&J baby powder 200g  X6","","S",6.5,5.25,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"459","","J&J baby lotion 200ml. X6","","S",6.5,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"469","","J&J cotton buds 100s  X6","","S",6,4.35,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"470","","J&J cotton buds 200's  X6","","S",8,5.25,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"471","","Athena cotton 100's. X12","","S",6,3.5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"472","","Ellino cotton swaps 100's. X12","","S",6,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"473","","Pampers baby wipes fresh clean 64's   X12","","S",13,10.8,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"474","","J&J baby wipes 56's. X12","","S",12,9.5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"475","","Little wonder baby soothers x25","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"476","","County baby soothers x12","","S",5,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"477","","Chicco baby soothers cherry dummy x12","","S",11,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"488","","For my baby wipes 80's x12","","S",9,7,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"489","","Baby bottle 250ml x12","","S",8,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"490","","J&J baby bath 200g. X6","","S",6,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"491","","Ellino baby wipes junior x24","","S",16,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"492","","Ellino wet wipes x24","","S",16,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"493","","Ellino wet pocket wipes x40","","S",8,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"494","","Ellino make up remover wipes 25's  X10","","S",5.5,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"495","","Rubber band x12","","S",8,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"496","","Balloon 25's x12","","S",12,6.6,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"497","","Loom bandz x12","","S",5,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"499","","Fruittella strawberry x40","","S",11,8.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"500","","Fruittella Magic x40","","S",11,8.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"501","","Fruittella English fruits x40","","S",11,8.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"502","","Fruittella summer fruits x40","","S",11,8.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"503","","Fruittella blackurrant x40","","S",11,8.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"504","","Polo original x48","","S",15,10.5,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"505","","Polo spearmint x48","","S",15,0,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"506","","Halls lime x20","","S",7.5,6,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"507","","Halls mentho-lyptus x20","","S",7.5,6,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"508","","Halls wild berry x20","","S",7.5,6,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"509","","Halls extra strong x20","","S",7.5,6,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"510","","Halls honey & lemon x20","","S",7.5,6,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"511","","Halls strawberry x20","","S",7.5,6,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
"512","","Chupa chups x14","","S",1.4,1,0,0,"",0,N,N,N,Y,"Chocolate",,"",S
